Gene1	Gene2	combine_score
AACS	ACSF2	0.556
AACS	ACSF3	0.687
AACS	ADHFE1	0.447
AACS	AGPAT2	0.333
AACS	ALDH18A1	0.395
AACS	ALDH1A1	0.385
AACS	ALDH1A2	0.385
AACS	ALDH1A3	0.386
AACS	ALDH1B1	0.398
AACS	ALDH1L1	0.381
AACS	ALDH1L2	0.368
AACS	ALDH2	0.463
AACS	ALDH3A1	0.398
AACS	ALDH3A2	0.425
AACS	ALDH3B2	0.402
AACS	ALDH4A1	0.371
AACS	ALDH5A1	0.507
AACS	ALDH7A1	0.381
AACS	ALDH8A1	0.385
AACS	ALDH9A1	0.387
AACS	ANKLE2	0.270
AACS	AUH	0.516
AACS	BDH1	0.936
AACS	BDH2	0.939
AACS	CARTPT	0.450
AACS	COASY	0.405
AACS	COQ6	0.378
AACS	CRYL1	0.459
AACS	CS	0.735
AACS	CYP4V2	0.585
AACS	CYP51A1	0.495
AACS	DDHD2	0.302
AACS	DHCR24	0.385
AACS	DHCR7	0.482
AACS	DHX37	0.389
AACS	ECHS1	0.532
AACS	ECI1	0.440
AACS	ECI2	0.382
AACS	EEF1E1	0.411
AACS	EHHADH	0.945
AACS	ERI1	0.461
AACS	FASN	0.655
AACS	FDFT1	0.449
AACS	FDPS	0.588
AACS	GAR1	0.735
AACS	GCDH	0.410
AACS	GDE1	0.343
AACS	GGPS1	0.343
AACS	GREM2	0.192
AACS	GSTA5	0.230
AACS	HADH	0.503
AACS	HADHA	0.426
AACS	HADHB	0.519
AACS	HIBCH	0.420
AACS	HMGCL	0.962
AACS	HMGCLL1	0.943
AACS	HMGCR	0.606
AACS	HMGCS1	0.959
AACS	HMGCS2	0.944
AACS	HSD17B4	0.436
AACS	IDI1	0.451
AACS	IDI2	0.240
AACS	IDUA	0.373
AACS	IVD	0.415
AACS	LIPJ	0.301
AACS	LIPK	0.272
AACS	LIPM	0.274
AACS	LSS	0.525
AACS	ME1	0.493
AACS	ME2	0.406
AACS	MRTFA	0.477
AACS	MVD	0.429
AACS	MVK	0.532
AACS	NAA30	0.154
AACS	NAT8	0.207
AACS	NECTIN3	0.227
AACS	NSDHL	0.467
AACS	OLAH	0.443
AACS	OXCT1	0.958
AACS	OXCT2	0.942
AACS	PANK3	0.221
AACS	PCCB	0.418
AACS	PECR	0.396
AACS	PEX26	0.532
AACS	PEX5	0.416
AACS	PHGDH	0.433
AACS	PMPCA	0.567
AACS	PMVK	0.373
AACS	RDH11	0.347
AACS	SC5D	0.407
AACS	SCP2	0.375
AACS	SDHA	0.431
AACS	SDHC	0.433
AACS	SLC25A1	0.345
AACS	SLC33A1	0.296
AACS	SLC5A10	0.252
AACS	SLC5A11	0.252
AACS	SLC5A3	0.276
AACS	SLC5A4	0.252
AACS	SLC5A9	0.252
AACS	SORD	0.501
AACS	SQLE	0.612
AACS	ST6GALNAC3	0.190
AACS	SULT1B1	0.409
AACS	TPI1	0.379
AACS	UNC13B	0.338
AACS	ZNF264	0.210
AACS	ZNF544	0.341
AACS	ZNF554	0.150
AACS	ZNF562	0.267
AACS	ZNF75A	0.260
AACS	ZNF774	0.225
AACS	ZNF791	0.161
AADAC	ABAT	0.330
AADAC	ABCB1	0.287
AADAC	ABHD10	0.446
AADAC	ABHD5	0.605
AADAC	ACOT1	0.244
AADAC	ACSF2	0.359
AADAC	AGXT	0.328
AADAC	AGXT2	0.351
AADAC	AKR1B15	0.229
AADAC	ALDH3A1	0.283
AADAC	ALDOB	0.295
AADAC	AMDHD2	0.238
AADAC	AOX1	0.302
AADAC	APOB	0.396
AADAC	ARF1	0.291
AADAC	ATP8A2	0.214
AADAC	BAAT	0.288
AADAC	C6	0.228
AADAC	CAPN13	0.195
AADAC	CES1	0.693
AADAC	CES2	0.616
AADAC	CES3	0.443
AADAC	CISD2	0.294
AADAC	COQ6	0.356
AADAC	CYC1	0.533
AADAC	CYP2C18	0.462
AADAC	CYP2C19	0.287
AADAC	CYP2C9	0.367
AADAC	CYP3A4	0.427
AADAC	DDC	0.288
AADAC	DDHD2	0.251
AADAC	DGAT1	0.366
AADAC	EPHX2	0.359
AADAC	ESD	0.318
AADAC	FAAH	0.393
AADAC	FABP1	0.333
AADAC	FABP2	0.454
AADAC	FASN	0.345
AADAC	FDX1	0.323
AADAC	FGA	0.345
AADAC	FGB	0.320
AADAC	FGG	0.288
AADAC	FMO1	0.406
AADAC	FMO2	0.344
AADAC	FMO3	0.372
AADAC	GSTO1	0.342
AADAC	GSTO2	0.342
AADAC	HRG	0.531
AADAC	KCNQ4	0.286
AADAC	KIF12	0.212
AADAC	KLHL12	0.364
AADAC	KMO	0.449
AADAC	KYNU	0.610
AADAC	LANCL2	0.157
AADAC	LIPA	0.408
AADAC	LIPC	0.390
AADAC	LIPF	0.293
AADAC	LPA	0.297
AADAC	MGLL	0.452
AADAC	MOCOS	0.301
AADAC	MT-ND1	0.339
AADAC	MT-ND2	0.284
AADAC	MT-ND3	0.347
AADAC	MT-ND4	0.315
AADAC	MT-ND4L	0.311
AADAC	MT-ND5	0.284
AADAC	NAT1	0.832
AADAC	NAT2	0.875
AADAC	NAT8	0.236
AADAC	NDUFA2	0.501
AADAC	NDUFA9	0.465
AADAC	NDUFAB1	0.487
AADAC	NDUFB9	0.382
AADAC	NDUFS1	0.572
AADAC	NDUFS2	0.311
AADAC	NDUFS3	0.317
AADAC	NDUFS4	0.503
AADAC	NDUFS6	0.512
AADAC	NDUFS8	0.526
AADAC	NDUFV1	0.516
AADAC	NDUFV2	0.502
AADAC	NMRAL1	0.348
AADAC	NR1H4	0.288
AADAC	NR1I2	0.312
AADAC	OTC	0.392
AADAC	PAFAH1B2	0.225
AADAC	PAFAH1B3	0.253
AADAC	PAH	0.321
AADAC	PALB2	0.487
AADAC	PLG	0.290
AADAC	PMPCA	0.485
AADAC	PMPCB	0.449
AADAC	PNLIPRP1	0.225
AADAC	PON1	0.301
AADAC	PON3	0.272
AADAC	RAB18	0.392
AADAC	RAB1B	0.353
AADAC	RGN	0.621
AADAC	RPGRIP1L	0.250
AADAC	SDR9C7	0.186
AADAC	SLC22A7	0.284
AADAC	SLC2A2	0.317
AADAC	SLCO1B1	0.466
AADAC	SLCO1B3	0.299
AADAC	SORT1	0.306
AADAC	SQLE	0.380
AADAC	SRSF1	0.292
AADAC	SRSF9	0.292
AADAC	STK10	0.173
AADAC	TDO2	0.603
AADAC	UGT1A3	0.301
AADAC	UQCR10	0.285
AADAC	UQCRB	0.358
AADAC	UQCRC1	0.449
AADAC	UQCRC2	0.343
AADAC	UQCRFS1	0.535
AADAC	WFS1	0.299
AADAT	AANAT	0.269
AADAT	AASDHPPT	0.309
AADAT	AASS	0.582
AADAT	ABAT	0.422
AADAT	ACMSD	0.620
AADAT	ACOX1	0.296
AADAT	ADCY3	0.357
AADAT	AFMID	0.955
AADAT	AGA	0.321
AADAT	AGMAT	0.357
AADAT	AGXT	0.446
AADAT	AGXT2	0.469
AADAT	AHCYL2	0.308
AADAT	ALDH1A1	0.297
AADAT	ALDH1A2	0.297
AADAT	ALDH1A3	0.311
AADAT	ALDH1B1	0.308
AADAT	ALDH1L1	0.309
AADAT	ALDH1L2	0.289
AADAT	ALDH2	0.345
AADAT	ALDH3A1	0.298
AADAT	ALDH3A2	0.374
AADAT	ALDH3B2	0.298
AADAT	ALDH4A1	0.383
AADAT	ALDH5A1	0.311
AADAT	ALDH7A1	0.929
AADAT	ALDH8A1	0.346
AADAT	ALDH9A1	0.380
AADAT	AMDHD1	0.276
AADAT	ARHGEF4	0.271
AADAT	ASNS	0.777
AADAT	ASRGL1	0.303
AADAT	ASS1	0.685
AADAT	B4GALT6	0.249
AADAT	BBS1	0.349
AADAT	BCAT1	0.889
AADAT	BCAT2	0.894
AADAT	CAPNS2	0.420
AADAT	CAPZB	0.355
AADAT	CBS	0.306
AADAT	CNDP2	0.378
AADAT	CRYM	0.408
AADAT	CTH	0.396
AADAT	DAO	0.317
AADAT	DDC	0.292
AADAT	DECR1	0.439
AADAT	DHTKD1	0.940
AADAT	DLD	0.909
AADAT	DLST	0.908
AADAT	ECHS1	0.360
AADAT	ETNPPL	0.372
AADAT	FH	0.810
AADAT	FOXE1	0.312
AADAT	FPGS	0.366
AADAT	GALNTL6	0.236
AADAT	GCDH	0.412
AADAT	GLDC	0.340
AADAT	GLUD1	0.337
AADAT	GLUD2	0.318
AADAT	GLUL	0.342
AADAT	GMPS	0.372
AADAT	GOT1	0.513
AADAT	GOT2	0.678
AADAT	GPR35	0.662
AADAT	GPT2	0.293
AADAT	HAAO	0.776
AADAT	HADHB	0.345
AADAT	HAO1	0.458
AADAT	HAO2	0.556
AADAT	HGD	0.403
AADAT	HMGCL	0.387
AADAT	HMGCLL1	0.427
AADAT	HNRNPL	0.292
AADAT	HPD	0.582
AADAT	IDH3A	0.360
AADAT	IDH3B	0.339
AADAT	IDH3G	0.383
AADAT	IDO1	0.631
AADAT	IPPK	0.184
AADAT	ITPK1	0.503
AADAT	IYD	0.289
AADAT	KMO	0.983
AADAT	KYAT1	0.999
AADAT	KYAT3	0.960
AADAT	KYNU	0.980
AADAT	LGSN	0.293
AADAT	METTL1	0.293
AADAT	MRE11	0.349
AADAT	NAPRT	0.289
AADAT	OAT	0.450
AADAT	OTC	0.350
AADAT	PDE10A	0.432
AADAT	PDE8B	0.381
AADAT	PDXK	0.569
AADAT	PHYKPL	0.463
AADAT	PNPO	0.424
AADAT	PRKAR2B	0.311
AADAT	PRKG1	0.298
AADAT	QDPR	0.363
AADAT	QPRT	0.706
AADAT	SDS	0.349
AADAT	SLC35A3	0.177
AADAT	SLC7A8	0.257
AADAT	SRR	0.367
AADAT	TAT	0.350
AADAT	TDO2	0.715
AADAT	TLL1	0.198
AADAT	TPH1	0.370
AADAT	UBE2I	0.311
AADAT	UROC1	0.289
AADAT	ZNF335	0.240
AADAT	ZNF417	0.347
AADAT	ZNF587	0.289
AANAT	ADCYAP1	0.301
AANAT	ALDH3A1	0.313
AANAT	AOC1	0.269
AANAT	ARNTL	0.671
AANAT	ASMT	0.994
AANAT	CALML5	0.291
AANAT	CLOCK	0.554
AANAT	CNGA3	0.615
AANAT	COMT	0.455
AANAT	CREB1	0.396
AANAT	CRY1	0.608
AANAT	CRY2	0.533
AANAT	CSNK1D	0.297
AANAT	CYP1A1	0.285
AANAT	CYP1A2	0.268
AANAT	CYP1B1	0.296
AANAT	DBH	0.319
AANAT	DBP	0.240
AANAT	DDC	0.967
AANAT	DRD4	0.353
AANAT	ENPP4	0.223
AANAT	FOS	0.478
AANAT	GFPT1	0.483
AANAT	GFPT2	0.483
AANAT	GLUL	0.367
AANAT	GNPDA1	0.271
AANAT	GNPDA2	0.271
AANAT	GPR35	0.199
AANAT	GPX2	0.264
AANAT	GPX8	0.264
AANAT	H6PD	0.440
AANAT	HCRT	0.274
AANAT	HCRTR1	0.278
AANAT	HCRTR2	0.219
AANAT	HDC	0.433
AANAT	HS3ST2	0.188
AANAT	ICMT	0.266
AANAT	IDO1	0.931
AANAT	INS	0.310
AANAT	KAT2A	0.292
AANAT	KAT2B	0.294
AANAT	LCMT1	0.300
AANAT	LETM1	0.431
AANAT	MAOA	0.943
AANAT	MAOB	0.937
AANAT	MTNR1A	0.657
AANAT	MTNR1B	0.639
AANAT	NAT1	0.618
AANAT	NAT2	0.527
AANAT	NPAS2	0.543
AANAT	NPSR1	0.266
AANAT	NQO2	0.437
AANAT	NR1D1	0.506
AANAT	OPN1SW	0.284
AANAT	OPN3	0.299
AANAT	OPN4	0.859
AANAT	OPN5	0.269
AANAT	PAH	0.389
AANAT	PDE10A	0.272
AANAT	PER2	0.655
AANAT	PGLS	0.271
AANAT	PGM2	0.398
AANAT	PGM2L1	0.398
AANAT	PGM3	0.398
AANAT	PNMT	0.380
AANAT	POLR3K	0.459
AANAT	PPM1D	0.309
AANAT	PPM1E	0.309
AANAT	PPM1F	0.309
AANAT	PPM1K	0.746
AANAT	PPM1L	0.746
AANAT	PRSS50	0.258
AANAT	RHO	0.327
AANAT	RORA	0.417
AANAT	RORB	0.408
AANAT	SIRT1	0.316
AANAT	SIRT3	0.279
AANAT	SLC15A1	0.288
AANAT	SLC1A1	0.339
AANAT	SLC1A2	0.346
AANAT	SLC1A3	0.309
AANAT	SLC1A4	0.386
AANAT	SLC1A5	0.577
AANAT	SLC1A6	0.289
AANAT	SLC1A7	0.326
AANAT	SLC2A1	0.266
AANAT	SLC2A3	0.279
AANAT	SLC3A2	0.359
AANAT	SLC6A18	0.188
AANAT	SLC6A19	0.267
AANAT	SLC6A4	0.322
AANAT	SLC7A5	0.352
AANAT	SLC7A6	0.302
AANAT	SLC7A8	0.307
AANAT	SPARC	0.302
AANAT	SULT1A2	0.235
AANAT	TAB1	0.309
AANAT	TDO2	0.347
AANAT	TH	0.355
AANAT	TIMELESS	0.361
AANAT	TMEM216	0.190
AANAT	TPH1	0.675
AANAT	TPH2	0.659
AANAT	TSHB	0.332
AANAT	VIP	0.292
AANAT	YWHAE	0.537
AANAT	YWHAH	0.403
AANAT	YWHAZ	0.972
AARS2	ABCB8	0.444
AARS2	ACAD10	0.287
AARS2	ACAD9	0.522
AARS2	AGXT	0.602
AARS2	AIMP1	0.612
AARS2	AIMP2	0.489
AARS2	AK1	0.470
AARS2	AK3	0.455
AARS2	ALKBH2	0.428
AARS2	ASB7	0.318
AARS2	BCKDK	0.486
AARS2	BCS1L	0.462
AARS2	BLMH	0.276
AARS2	BRIP1	0.645
AARS2	BRWD1	0.248
AARS2	BUB1	0.515
AARS2	BUB1B	0.515
AARS2	CAPN11	0.185
AARS2	CARS2	0.824
AARS2	CDC16	0.843
AARS2	CDC34	0.378
AARS2	CHEK1	0.429
AARS2	CLCN7	0.406
AARS2	CLPB	0.400
AARS2	COX18	0.341
AARS2	D2HGDH	0.298
AARS2	DARS2	0.955
AARS2	DHX37	0.518
AARS2	DLD	0.402
AARS2	EEF2	0.384
AARS2	EIF2B1	0.494
AARS2	EIF2B4	0.348
AARS2	EIF2B5	0.373
AARS2	EIF5B	0.680
AARS2	ELAC2	0.552
AARS2	EXOSC10	0.399
AARS2	FARS2	0.833
AARS2	FARSA	0.462
AARS2	FARSB	0.507
AARS2	FKBPL	0.233
AARS2	GFM1	0.632
AARS2	GRSF1	0.359
AARS2	H6PD	0.489
AARS2	HARS2	0.871
AARS2	HLCS	0.370
AARS2	HSP90AB1	0.386
AARS2	IARS1	0.863
AARS2	INPP5E	0.322
AARS2	KDM6A	0.367
AARS2	KDM6B	0.382
AARS2	LARS1	0.832
AARS2	LARS2	0.924
AARS2	LRSAM1	0.365
AARS2	MARS2	0.853
AARS2	ME1	0.411
AARS2	ME2	0.468
AARS2	MINPP1	0.353
AARS2	MMAB	0.244
AARS2	MRPL16	0.412
AARS2	MRPL39	0.423
AARS2	MRPL58	0.658
AARS2	MRPS16	0.435
AARS2	MRRF	0.640
AARS2	MTFMT	0.565
AARS2	MTIF2	0.504
AARS2	MTO1	0.630
AARS2	MTRF1L	0.443
AARS2	NARS2	0.845
AARS2	NDUFAF5	0.354
AARS2	NDUFS2	0.386
AARS2	NDUFS3	0.414
AARS2	NPHP3	0.233
AARS2	ORC4	0.326
AARS2	OSGEP	0.335
AARS2	PARS2	0.886
AARS2	PFAS	0.232
AARS2	PIGG	0.244
AARS2	POLA2	0.348
AARS2	POLG2	0.531
AARS2	POLH	0.358
AARS2	POLL	0.658
AARS2	POLM	0.756
AARS2	POLR1A	0.516
AARS2	POLR1B	0.410
AARS2	POLR1C	0.373
AARS2	POLR2C	0.372
AARS2	POLR3A	0.556
AARS2	POLR3B	0.469
AARS2	POMT1	0.336
AARS2	POMT2	0.236
AARS2	PPA1	0.468
AARS2	PPA2	0.532
