protein,relation,pathway
HIST1H2BM,associatedWith,R-HSA-110331
HIST1H2BN,associatedWith,R-HSA-110331
HIST1H2BO,associatedWith,R-HSA-110331
HIST1H4A,associatedWith,R-HSA-110331
HIST1H4B,associatedWith,R-HSA-110331
HIST1H4C,associatedWith,R-HSA-110331
HIST1H4D,associatedWith,R-HSA-110331
HIST1H4E,associatedWith,R-HSA-110331
HIST1H4F,associatedWith,R-HSA-110331
HIST1H4H,associatedWith,R-HSA-110331
HIST1H4I,associatedWith,R-HSA-110331
HIST1H4J,associatedWith,R-HSA-110331
HIST1H4K,associatedWith,R-HSA-110331
HIST1H4L,associatedWith,R-HSA-110331
HIST2H2AA3,associatedWith,R-HSA-110331
HIST2H2AA4,associatedWith,R-HSA-110331
HIST2H2AC,associatedWith,R-HSA-110331
HIST2H2BE,associatedWith,R-HSA-110331
HIST2H4A,associatedWith,R-HSA-110331
HIST2H4B,associatedWith,R-HSA-110331
HIST3H2BB,associatedWith,R-HSA-110331
HIST3H3,associatedWith,R-HSA-110331
HIST4H4,associatedWith,R-HSA-110331
MPG,associatedWith,R-HSA-110331
MUTYH,associatedWith,R-HSA-110331
NEIL3,associatedWith,R-HSA-110331
OGG1,associatedWith,R-HSA-110331
POT1,associatedWith,R-HSA-110331
TERF1,associatedWith,R-HSA-110331
TERF2,associatedWith,R-HSA-110331
TERF2IP,associatedWith,R-HSA-110331
TINF2,associatedWith,R-HSA-110331
APEX1,associatedWith,R-HSA-110357
MBD4,associatedWith,R-HSA-110357
MPG,associatedWith,R-HSA-110357
MUTYH,associatedWith,R-HSA-110357
NTHL1,associatedWith,R-HSA-110357
OGG1,associatedWith,R-HSA-110357
SMUG1,associatedWith,R-HSA-110357
TDG,associatedWith,R-HSA-110357
UNG,associatedWith,R-HSA-110357
ADPRHL2,associatedWith,R-HSA-110362
APEX1,associatedWith,R-HSA-110362
FEN1,associatedWith,R-HSA-110362
LIG1,associatedWith,R-HSA-110362
PARG,associatedWith,R-HSA-110362
PARP1,associatedWith,R-HSA-110362
PARP2,associatedWith,R-HSA-110362
POLB,associatedWith,R-HSA-110362
APEX1,associatedWith,R-HSA-110373
POLB,associatedWith,R-HSA-110373
LIG3,associatedWith,R-HSA-110381
POLB,associatedWith,R-HSA-110381
XRCC1,associatedWith,R-HSA-110381
LSM10,associatedWith,R-HSA-111367
LSM11,associatedWith,R-HSA-111367
NCBP1,associatedWith,R-HSA-111367
NCBP2,associatedWith,R-HSA-111367
SNRPB,associatedWith,R-HSA-111367
SNRPD3,associatedWith,R-HSA-111367
SNRPE,associatedWith,R-HSA-111367
SNRPF,associatedWith,R-HSA-111367
SNRPG,associatedWith,R-HSA-111367
ZNF473,associatedWith,R-HSA-111367
BCL2L11,associatedWith,R-HSA-111446
DYNLL1,associatedWith,R-HSA-111446
MAPK8,associatedWith,R-HSA-111446
AKT1,associatedWith,R-HSA-111447
AKT2,associatedWith,R-HSA-111447
AKT3,associatedWith,R-HSA-111447
BAD,associatedWith,R-HSA-111447
BCL2,associatedWith,R-HSA-111447
BID,associatedWith,R-HSA-111447
PPP3CC,associatedWith,R-HSA-111447
PPP3R1,associatedWith,R-HSA-111447
SFN,associatedWith,R-HSA-111447
YWHAB,associatedWith,R-HSA-111447
YWHAE,associatedWith,R-HSA-111447
YWHAG,associatedWith,R-HSA-111447
YWHAH,associatedWith,R-HSA-111447
YWHAQ,associatedWith,R-HSA-111447
YWHAZ,associatedWith,R-HSA-111447
E2F1,associatedWith,R-HSA-111448
PMAIP1,associatedWith,R-HSA-111448
TFDP1,associatedWith,R-HSA-111448
TFDP2,associatedWith,R-HSA-111448
TP53,associatedWith,R-HSA-111448
BAK1,associatedWith,R-HSA-111452
BID,associatedWith,R-HSA-111452
BAD,associatedWith,R-HSA-111453
BBC3,associatedWith,R-HSA-111453
BCL2,associatedWith,R-HSA-111453
BCL2L1,associatedWith,R-HSA-111453
BCL2L11,associatedWith,R-HSA-111453
BID,associatedWith,R-HSA-111453
BMF,associatedWith,R-HSA-111453
PMAIP1,associatedWith,R-HSA-111453
STAT3,associatedWith,R-HSA-111453
BAK1,associatedWith,R-HSA-111457
BAX,associatedWith,R-HSA-111457
CYCS,associatedWith,R-HSA-111457
DIABLO,associatedWith,R-HSA-111457
SEPTIN4,associatedWith,R-HSA-111457
APAF1,associatedWith,R-HSA-111458
APIP,associatedWith,R-HSA-111458
AVEN,associatedWith,R-HSA-111458
CARD8,associatedWith,R-HSA-111458
CASP9,associatedWith,R-HSA-111458
CYCS,associatedWith,R-HSA-111458
APAF1,associatedWith,R-HSA-111459
CASP3,associatedWith,R-HSA-111459
CASP7,associatedWith,R-HSA-111459
CASP9,associatedWith,R-HSA-111459
CYCS,associatedWith,R-HSA-111459
XIAP,associatedWith,R-HSA-111459
APAF1,associatedWith,R-HSA-111463
CASP3,associatedWith,R-HSA-111463
CASP7,associatedWith,R-HSA-111463
CASP9,associatedWith,R-HSA-111463
CYCS,associatedWith,R-HSA-111463
DIABLO,associatedWith,R-HSA-111463
XIAP,associatedWith,R-HSA-111463
APAF1,associatedWith,R-HSA-111464
CASP3,associatedWith,R-HSA-111464
CASP7,associatedWith,R-HSA-111464
CASP9,associatedWith,R-HSA-111464
CYCS,associatedWith,R-HSA-111464
DIABLO,associatedWith,R-HSA-111464
XIAP,associatedWith,R-HSA-111464
ACIN1,associatedWith,R-HSA-111465
APC,associatedWith,R-HSA-111465
BCAP31,associatedWith,R-HSA-111465
BIRC2,associatedWith,R-HSA-111465
BMX,associatedWith,R-HSA-111465
CASP3,associatedWith,R-HSA-111465
CASP6,associatedWith,R-HSA-111465
CASP7,associatedWith,R-HSA-111465
CASP8,associatedWith,R-HSA-111465
CLSPN,associatedWith,R-HSA-111465
FNTA,associatedWith,R-HSA-111465
PRKCD,associatedWith,R-HSA-111465
PRKCQ,associatedWith,R-HSA-111465
PTK2,associatedWith,R-HSA-111465
ROCK1,associatedWith,R-HSA-111465
SATB1,associatedWith,R-HSA-111465
STK24,associatedWith,R-HSA-111465
STK26,associatedWith,R-HSA-111465
CASP3,associatedWith,R-HSA-111469
CASP7,associatedWith,R-HSA-111469
DIABLO,associatedWith,R-HSA-111469
SEPTIN4,associatedWith,R-HSA-111469
XIAP,associatedWith,R-HSA-111469
OPRM1,associatedWith,R-HSA-111885
PDYN,associatedWith,R-HSA-111885
POMC,associatedWith,R-HSA-111885
CREB1,associatedWith,R-HSA-111931
PRKACA,associatedWith,R-HSA-111931
PRKACB,associatedWith,R-HSA-111931
PRKACG,associatedWith,R-HSA-111931
PRKX,associatedWith,R-HSA-111931
CALM1,associatedWith,R-HSA-111932
CAMK2A,associatedWith,R-HSA-111932
CAMK2B,associatedWith,R-HSA-111932
CAMK2D,associatedWith,R-HSA-111932
CAMK2G,associatedWith,R-HSA-111932
CAMK4,associatedWith,R-HSA-111932
CAMKK1,associatedWith,R-HSA-111932
CAMKK2,associatedWith,R-HSA-111932
CREB1,associatedWith,R-HSA-111932
KPNA2,associatedWith,R-HSA-111932
CALM1,associatedWith,R-HSA-111933
GRK2,associatedWith,R-HSA-111933
PRKCA,associatedWith,R-HSA-111933
PRKCD,associatedWith,R-HSA-111933
PRKCG,associatedWith,R-HSA-111933
CALM1,associatedWith,R-HSA-111957
PDE1A,associatedWith,R-HSA-111957
PDE1B,associatedWith,R-HSA-111957
PDE1C,associatedWith,R-HSA-111957
MAPK1,associatedWith,R-HSA-111995
PLA2G4A,associatedWith,R-HSA-111995
CALM1,associatedWith,R-HSA-111997
AHCYL1,associatedWith,R-HSA-112043
GNAI1,associatedWith,R-HSA-112043
GNAI2,associatedWith,R-HSA-112043
GNAI3,associatedWith,R-HSA-112043
GNAO1,associatedWith,R-HSA-112043
GNAT1,associatedWith,R-HSA-112043
GNAT2,associatedWith,R-HSA-112043
