protein,relation,pathway
ARHGEF10,associatedWith,R-HSA-416482
ARHGEF10L,associatedWith,R-HSA-416482
ARHGEF11,associatedWith,R-HSA-416482
ARHGEF12,associatedWith,R-HSA-416482
ARHGEF15,associatedWith,R-HSA-416482
ARHGEF16,associatedWith,R-HSA-416482
ARHGEF17,associatedWith,R-HSA-416482
ARHGEF18,associatedWith,R-HSA-416482
ARHGEF19,associatedWith,R-HSA-416482
ARHGEF2,associatedWith,R-HSA-416482
ARHGEF26,associatedWith,R-HSA-416482
ARHGEF3,associatedWith,R-HSA-416482
ARHGEF33,associatedWith,R-HSA-416482
ARHGEF35,associatedWith,R-HSA-416482
ARHGEF37,associatedWith,R-HSA-416482
ARHGEF38,associatedWith,R-HSA-416482
ARHGEF39,associatedWith,R-HSA-416482
ARHGEF4,associatedWith,R-HSA-416482
ARHGEF40,associatedWith,R-HSA-416482
ARHGEF5,associatedWith,R-HSA-416482
ARHGEF6,associatedWith,R-HSA-416482
ARHGEF7,associatedWith,R-HSA-416482
ARHGEF9,associatedWith,R-HSA-416482
BTK,associatedWith,R-HSA-416482
ECT2,associatedWith,R-HSA-416482
FGD1,associatedWith,R-HSA-416482
FGD2,associatedWith,R-HSA-416482
FGD3,associatedWith,R-HSA-416482
FGD4,associatedWith,R-HSA-416482
GNA12,associatedWith,R-HSA-416482
GNA13,associatedWith,R-HSA-416482
GNB1,associatedWith,R-HSA-416482
GNB2,associatedWith,R-HSA-416482
GNB3,associatedWith,R-HSA-416482
GNB4,associatedWith,R-HSA-416482
GNB5,associatedWith,R-HSA-416482
GNG10,associatedWith,R-HSA-416482
GNG11,associatedWith,R-HSA-416482
GNG12,associatedWith,R-HSA-416482
GNG13,associatedWith,R-HSA-416482
GNG2,associatedWith,R-HSA-416482
GNG3,associatedWith,R-HSA-416482
GNG4,associatedWith,R-HSA-416482
GNG5,associatedWith,R-HSA-416482
GNG7,associatedWith,R-HSA-416482
GNG8,associatedWith,R-HSA-416482
GNGT1,associatedWith,R-HSA-416482
GNGT2,associatedWith,R-HSA-416482
ITSN1,associatedWith,R-HSA-416482
KALRN,associatedWith,R-HSA-416482
MCF2,associatedWith,R-HSA-416482
MCF2L,associatedWith,R-HSA-416482
NET1,associatedWith,R-HSA-416482
NGEF,associatedWith,R-HSA-416482
OBSCN,associatedWith,R-HSA-416482
PLEKHG2,associatedWith,R-HSA-416482
PLEKHG5,associatedWith,R-HSA-416482
PLXNB1,associatedWith,R-HSA-416482
PREX1,associatedWith,R-HSA-416482
RASGRF2,associatedWith,R-HSA-416482
RHOA,associatedWith,R-HSA-416482
RHOB,associatedWith,R-HSA-416482
RHOC,associatedWith,R-HSA-416482
ROCK1,associatedWith,R-HSA-416482
ROCK2,associatedWith,R-HSA-416482
SOS1,associatedWith,R-HSA-416482
SOS2,associatedWith,R-HSA-416482
TBXA2R,associatedWith,R-HSA-416482
TIAM1,associatedWith,R-HSA-416482
TIAM2,associatedWith,R-HSA-416482
TRIO,associatedWith,R-HSA-416482
VAV1,associatedWith,R-HSA-416482
VAV2,associatedWith,R-HSA-416482
VAV3,associatedWith,R-HSA-416482
ARHGAP35,associatedWith,R-HSA-416550
MET,associatedWith,R-HSA-416550
PLXNB1,associatedWith,R-HSA-416550
RAC1,associatedWith,R-HSA-416550
RHOA,associatedWith,R-HSA-416550
RND1,associatedWith,R-HSA-416550
RRAS,associatedWith,R-HSA-416550
SEMA4D,associatedWith,R-HSA-416550
ARHGEF11,associatedWith,R-HSA-416572
ARHGEF12,associatedWith,R-HSA-416572
ERBB2,associatedWith,R-HSA-416572
LIMK1,associatedWith,R-HSA-416572
LIMK2,associatedWith,R-HSA-416572
MYH10,associatedWith,R-HSA-416572
MYH11,associatedWith,R-HSA-416572
MYH14,associatedWith,R-HSA-416572
MYH9,associatedWith,R-HSA-416572
MYL12B,associatedWith,R-HSA-416572
MYL6,associatedWith,R-HSA-416572
MYL9,associatedWith,R-HSA-416572
PLXNB1,associatedWith,R-HSA-416572
RHOA,associatedWith,R-HSA-416572
RHOB,associatedWith,R-HSA-416572
RHOC,associatedWith,R-HSA-416572
RND1,associatedWith,R-HSA-416572
ROCK1,associatedWith,R-HSA-416572
ROCK2,associatedWith,R-HSA-416572
SEMA4D,associatedWith,R-HSA-416572
CD72,associatedWith,R-HSA-416700
ITGA1,associatedWith,R-HSA-416700
ITGB1,associatedWith,R-HSA-416700
PLXNA1,associatedWith,R-HSA-416700
PLXNA2,associatedWith,R-HSA-416700
PLXNA4,associatedWith,R-HSA-416700
PLXNB3,associatedWith,R-HSA-416700
PLXNC1,associatedWith,R-HSA-416700
PLXND1,associatedWith,R-HSA-416700
PTPRC,associatedWith,R-HSA-416700
SEMA3E,associatedWith,R-HSA-416700
SEMA4A,associatedWith,R-HSA-416700
SEMA4D,associatedWith,R-HSA-416700
SEMA5A,associatedWith,R-HSA-416700
SEMA6A,associatedWith,R-HSA-416700
SEMA6D,associatedWith,R-HSA-416700
SEMA7A,associatedWith,R-HSA-416700
TREM2,associatedWith,R-HSA-416700
TYROBP,associatedWith,R-HSA-416700
AP2A1,associatedWith,R-HSA-416993
AP2A2,associatedWith,R-HSA-416993
AP2B1,associatedWith,R-HSA-416993
AP2M1,associatedWith,R-HSA-416993
AP2S1,associatedWith,R-HSA-416993
GRIA1,associatedWith,R-HSA-416993
GRIA2,associatedWith,R-HSA-416993
GRIA3,associatedWith,R-HSA-416993
GRIA4,associatedWith,R-HSA-416993
GRIP1,associatedWith,R-HSA-416993
GRIP2,associatedWith,R-HSA-416993
NSF,associatedWith,R-HSA-416993
PICK1,associatedWith,R-HSA-416993
PRKCA,associatedWith,R-HSA-416993
PRKCB,associatedWith,R-HSA-416993
PRKCG,associatedWith,R-HSA-416993
TSPAN7,associatedWith,R-HSA-416993
GPR17,associatedWith,R-HSA-417957
LPAR4,associatedWith,R-HSA-417957
LPAR6,associatedWith,R-HSA-417957
P2RY1,associatedWith,R-HSA-417957
P2RY10,associatedWith,R-HSA-417957
P2RY11,associatedWith,R-HSA-417957
P2RY12,associatedWith,R-HSA-417957
P2RY13,associatedWith,R-HSA-417957
P2RY14,associatedWith,R-HSA-417957
P2RY2,associatedWith,R-HSA-417957
P2RY4,associatedWith,R-HSA-417957
P2RY6,associatedWith,R-HSA-417957
ADORA1,associatedWith,R-HSA-417973
ADORA2A,associatedWith,R-HSA-417973
ADORA2B,associatedWith,R-HSA-417973
ADORA3,associatedWith,R-HSA-417973
GNB1,associatedWith,R-HSA-418217
GNB2,associatedWith,R-HSA-418217
GNB3,associatedWith,R-HSA-418217
GNB4,associatedWith,R-HSA-418217
GNB5,associatedWith,R-HSA-418217
GNG10,associatedWith,R-HSA-418217
GNG11,associatedWith,R-HSA-418217
GNG12,associatedWith,R-HSA-418217
GNG13,associatedWith,R-HSA-418217
GNG2,associatedWith,R-HSA-418217
GNG3,associatedWith,R-HSA-418217
GNG4,associatedWith,R-HSA-418217
GNG5,associatedWith,R-HSA-418217
GNG7,associatedWith,R-HSA-418217
GNG8,associatedWith,R-HSA-418217
GNGT1,associatedWith,R-HSA-418217
GNGT2,associatedWith,R-HSA-418217
PLCB1,associatedWith,R-HSA-418217
PLCB2,associatedWith,R-HSA-418217
PLCB3,associatedWith,R-HSA-418217
P2RX1,associatedWith,R-HSA-418346
P2RX2,associatedWith,R-HSA-418346
P2RX3,associatedWith,R-HSA-418346
P2RX4,associatedWith,R-HSA-418346
P2RX5,associatedWith,R-HSA-418346
P2RX6,associatedWith,R-HSA-418346
P2RX7,associatedWith,R-HSA-418346
PAFAH2,associatedWith,R-HSA-418346
ATP2A1,associatedWith,R-HSA-418359
ATP2A2,associatedWith,R-HSA-418359
ATP2A3,associatedWith,R-HSA-418359
ATP2B1,associatedWith,R-HSA-418359
ATP2B2,associatedWith,R-HSA-418359
ATP2B3,associatedWith,R-HSA-418359
ATP2B4,associatedWith,R-HSA-418359
CALM1,associatedWith,R-HSA-418359
SLC8A1,associatedWith,R-HSA-418359
SLC8A2,associatedWith,R-HSA-418359
SLC8A3,associatedWith,R-HSA-418359
SRI,associatedWith,R-HSA-418359
ITPR1,associatedWith,R-HSA-418457
KCNMA1,associatedWith,R-HSA-418457
KCNMB1,associatedWith,R-HSA-418457
KCNMB2,associatedWith,R-HSA-418457
KCNMB3,associatedWith,R-HSA-418457
KCNMB4,associatedWith,R-HSA-418457
MRVI1,associatedWith,R-HSA-418457
PDE10A,associatedWith,R-HSA-418457
PDE11A,associatedWith,R-HSA-418457
PDE1A,associatedWith,R-HSA-418457
PDE1B,associatedWith,R-HSA-418457
PDE2A,associatedWith,R-HSA-418457
PDE5A,associatedWith,R-HSA-418457
PDE9A,associatedWith,R-HSA-418457
PRKG1,associatedWith,R-HSA-418457
PRKG2,associatedWith,R-HSA-418457
ADCY1,associatedWith,R-HSA-418555
ADCY2,associatedWith,R-HSA-418555
ADCY3,associatedWith,R-HSA-418555
ADCY4,associatedWith,R-HSA-418555
ADCY5,associatedWith,R-HSA-418555
ADCY6,associatedWith,R-HSA-418555
ADCY7,associatedWith,R-HSA-418555
ADCY8,associatedWith,R-HSA-418555
ADCY9,associatedWith,R-HSA-418555
ADCYAP1,associatedWith,R-HSA-418555
ADCYAP1R1,associatedWith,R-HSA-418555
ADM,associatedWith,R-HSA-418555
ADM2,associatedWith,R-HSA-418555
ADORA2A,associatedWith,R-HSA-418555
ADORA2B,associatedWith,R-HSA-418555
ADRB1,associatedWith,R-HSA-418555
ADRB2,associatedWith,R-HSA-418555
ADRB3,associatedWith,R-HSA-418555
ARRB1,associatedWith,R-HSA-418555
ARRB2,associatedWith,R-HSA-418555
AVP,associatedWith,R-HSA-418555
AVPR2,associatedWith,R-HSA-418555
CALCA,associatedWith,R-HSA-418555
CALCB,associatedWith,R-HSA-418555
CALCR,associatedWith,R-HSA-418555
CALCRL,associatedWith,R-HSA-418555
CGA,associatedWith,R-HSA-418555
CRH,associatedWith,R-HSA-418555
CRHR1,associatedWith,R-HSA-418555
CRHR2,associatedWith,R-HSA-418555
DRD1,associatedWith,R-HSA-418555
DRD5,associatedWith,R-HSA-418555
FSHB,associatedWith,R-HSA-418555
FSHR,associatedWith,R-HSA-418555
GCG,associatedWith,R-HSA-418555
GCGR,associatedWith,R-HSA-418555
GHRH,associatedWith,R-HSA-418555
GHRHR,associatedWith,R-HSA-418555
GIP,associatedWith,R-HSA-418555
GIPR,associatedWith,R-HSA-418555
GLP1R,associatedWith,R-HSA-418555
GLP2R,associatedWith,R-HSA-418555
GNAI1,associatedWith,R-HSA-418555
GNAI2,associatedWith,R-HSA-418555
GNAI3,associatedWith,R-HSA-418555
GNAS,associatedWith,R-HSA-418555
GNAT3,associatedWith,R-HSA-418555
GNAZ,associatedWith,R-HSA-418555
GNB1,associatedWith,R-HSA-418555
GNB2,associatedWith,R-HSA-418555
GNB3,associatedWith,R-HSA-418555
GNB4,associatedWith,R-HSA-418555
GNB5,associatedWith,R-HSA-418555
GNG10,associatedWith,R-HSA-418555
GNG11,associatedWith,R-HSA-418555
GNG12,associatedWith,R-HSA-418555
GNG13,associatedWith,R-HSA-418555
GNG2,associatedWith,R-HSA-418555
GNG3,associatedWith,R-HSA-418555
GNG4,associatedWith,R-HSA-418555
GNG5,associatedWith,R-HSA-418555
GNG7,associatedWith,R-HSA-418555
GNG8,associatedWith,R-HSA-418555
GNGT1,associatedWith,R-HSA-418555
GNGT2,associatedWith,R-HSA-418555
GPBAR1,associatedWith,R-HSA-418555
GPHA2,associatedWith,R-HSA-418555
GPHB5,associatedWith,R-HSA-418555
GPR15,associatedWith,R-HSA-418555
GPR150,associatedWith,R-HSA-418555
GPR176,associatedWith,R-HSA-418555
GPR20,associatedWith,R-HSA-418555
GPR25,associatedWith,R-HSA-418555
GPR27,associatedWith,R-HSA-418555
GPR32,associatedWith,R-HSA-418555
GPR39,associatedWith,R-HSA-418555
GPR45,associatedWith,R-HSA-418555
GPR83,associatedWith,R-HSA-418555
GPR84,associatedWith,R-HSA-418555
GRK2,associatedWith,R-HSA-418555
GRK3,associatedWith,R-HSA-418555
GRK5,associatedWith,R-HSA-418555
GRK6,associatedWith,R-HSA-418555
HRH2,associatedWith,R-HSA-418555
HTR4,associatedWith,R-HSA-418555
HTR6,associatedWith,R-HSA-418555
HTR7,associatedWith,R-HSA-418555
IAPP,associatedWith,R-HSA-418555
INSL3,associatedWith,R-HSA-418555
LHB,associatedWith,R-HSA-418555
LHCGR,associatedWith,R-HSA-418555
MC1R,associatedWith,R-HSA-418555
MC2R,associatedWith,R-HSA-418555
MC3R,associatedWith,R-HSA-418555
MC4R,associatedWith,R-HSA-418555
MC5R,associatedWith,R-HSA-418555
NPS,associatedWith,R-HSA-418555
NPSR1,associatedWith,R-HSA-418555
P2RY11,associatedWith,R-HSA-418555
PDE10A,associatedWith,R-HSA-418555
PDE11A,associatedWith,R-HSA-418555
PDE1A,associatedWith,R-HSA-418555
PDE1B,associatedWith,R-HSA-418555
PDE2A,associatedWith,R-HSA-418555
PDE3A,associatedWith,R-HSA-418555
PDE3B,associatedWith,R-HSA-418555
PDE4A,associatedWith,R-HSA-418555
PDE4C,associatedWith,R-HSA-418555
PDE4D,associatedWith,R-HSA-418555
PDE7A,associatedWith,R-HSA-418555
PDE7B,associatedWith,R-HSA-418555
PDE8A,associatedWith,R-HSA-418555
PDE8B,associatedWith,R-HSA-418555
POMC,associatedWith,R-HSA-418555
PTGDR,associatedWith,R-HSA-418555
PTGER2,associatedWith,R-HSA-418555
PTGER4,associatedWith,R-HSA-418555
PTGIR,associatedWith,R-HSA-418555
PTH,associatedWith,R-HSA-418555
PTH1R,associatedWith,R-HSA-418555
PTH2,associatedWith,R-HSA-418555
PTH2R,associatedWith,R-HSA-418555
PTHLH,associatedWith,R-HSA-418555
RAMP1,associatedWith,R-HSA-418555
RAMP2,associatedWith,R-HSA-418555
RAMP3,associatedWith,R-HSA-418555
RLN2,associatedWith,R-HSA-418555
RLN3,associatedWith,R-HSA-418555
RXFP1,associatedWith,R-HSA-418555
RXFP2,associatedWith,R-HSA-418555
SCT,associatedWith,R-HSA-418555
SCTR,associatedWith,R-HSA-418555
SRC,associatedWith,R-HSA-418555
TAAR1,associatedWith,R-HSA-418555
TAAR2,associatedWith,R-HSA-418555
TAAR3P,associatedWith,R-HSA-418555
TAAR5,associatedWith,R-HSA-418555
TAAR6,associatedWith,R-HSA-418555
TAAR8,associatedWith,R-HSA-418555
TAAR9,associatedWith,R-HSA-418555
TSHB,associatedWith,R-HSA-418555
TSHR,associatedWith,R-HSA-418555
VIP,associatedWith,R-HSA-418555
VIPR1,associatedWith,R-HSA-418555
VIPR2,associatedWith,R-HSA-418555
GNA11,associatedWith,R-HSA-418592
GNA14,associatedWith,R-HSA-418592
GNA15,associatedWith,R-HSA-418592
GNAQ,associatedWith,R-HSA-418592
GNB1,associatedWith,R-HSA-418592
GNB2,associatedWith,R-HSA-418592
GNB3,associatedWith,R-HSA-418592
GNB4,associatedWith,R-HSA-418592
GNB5,associatedWith,R-HSA-418592
GNG10,associatedWith,R-HSA-418592
GNG11,associatedWith,R-HSA-418592
GNG12,associatedWith,R-HSA-418592
GNG13,associatedWith,R-HSA-418592
GNG2,associatedWith,R-HSA-418592
GNG3,associatedWith,R-HSA-418592
GNG4,associatedWith,R-HSA-418592
GNG5,associatedWith,R-HSA-418592
GNG7,associatedWith,R-HSA-418592
GNG8,associatedWith,R-HSA-418592
GNGT1,associatedWith,R-HSA-418592
GNGT2,associatedWith,R-HSA-418592
MAPK14,associatedWith,R-HSA-418592
P2RY1,associatedWith,R-HSA-418592
PLA2G4A,associatedWith,R-HSA-418592
SRC,associatedWith,R-HSA-418592
ACKR3,associatedWith,R-HSA-418594
ADCY1,associatedWith,R-HSA-418594
ADCY2,associatedWith,R-HSA-418594
ADCY3,associatedWith,R-HSA-418594
ADCY4,associatedWith,R-HSA-418594
ADCY5,associatedWith,R-HSA-418594
ADCY6,associatedWith,R-HSA-418594
ADCY7,associatedWith,R-HSA-418594
ADCY8,associatedWith,R-HSA-418594
ADCY9,associatedWith,R-HSA-418594
ADORA1,associatedWith,R-HSA-418594
ADORA3,associatedWith,R-HSA-418594
ADRA2A,associatedWith,R-HSA-418594
ADRA2B,associatedWith,R-HSA-418594
ADRA2C,associatedWith,R-HSA-418594
AGT,associatedWith,R-HSA-418594
AGTR2,associatedWith,R-HSA-418594
ANXA1,associatedWith,R-HSA-418594
APLN,associatedWith,R-HSA-418594
APLNR,associatedWith,R-HSA-418594
APP,associatedWith,R-HSA-418594
BDKRB1,associatedWith,R-HSA-418594
BDKRB2,associatedWith,R-HSA-418594
C3,associatedWith,R-HSA-418594
C3AR1,associatedWith,R-HSA-418594
C5,associatedWith,R-HSA-418594
C5AR1,associatedWith,R-HSA-418594
CASR,associatedWith,R-HSA-418594
CCL1,associatedWith,R-HSA-418594
CCL13,associatedWith,R-HSA-418594
CCL16,associatedWith,R-HSA-418594
CCL19,associatedWith,R-HSA-418594
CCL20,associatedWith,R-HSA-418594
CCL21,associatedWith,R-HSA-418594
CCL23,associatedWith,R-HSA-418594
CCL25,associatedWith,R-HSA-418594
CCL27,associatedWith,R-HSA-418594
CCL28,associatedWith,R-HSA-418594
CCL4,associatedWith,R-HSA-418594
CCL4L1,associatedWith,R-HSA-418594
CCL4L2,associatedWith,R-HSA-418594
CCL5,associatedWith,R-HSA-418594
CCR1,associatedWith,R-HSA-418594
CCR10,associatedWith,R-HSA-418594
CCR2,associatedWith,R-HSA-418594
CCR3,associatedWith,R-HSA-418594
CCR4,associatedWith,R-HSA-418594
CCR5,associatedWith,R-HSA-418594
CCR6,associatedWith,R-HSA-418594
CCR7,associatedWith,R-HSA-418594
CCR8,associatedWith,R-HSA-418594
CCR9,associatedWith,R-HSA-418594
CHRM2,associatedWith,R-HSA-418594
CHRM4,associatedWith,R-HSA-418594
CNR1,associatedWith,R-HSA-418594
CNR2,associatedWith,R-HSA-418594
CORT,associatedWith,R-HSA-418594
CX3CL1,associatedWith,R-HSA-418594
CX3CR1,associatedWith,R-HSA-418594
CXCL1,associatedWith,R-HSA-418594
CXCL10,associatedWith,R-HSA-418594
CXCL11,associatedWith,R-HSA-418594
CXCL12,associatedWith,R-HSA-418594
CXCL13,associatedWith,R-HSA-418594
CXCL16,associatedWith,R-HSA-418594
CXCL2,associatedWith,R-HSA-418594
CXCL3,associatedWith,R-HSA-418594
CXCL5,associatedWith,R-HSA-418594
CXCL6,associatedWith,R-HSA-418594
CXCL8,associatedWith,R-HSA-418594
CXCL9,associatedWith,R-HSA-418594
CXCR1,associatedWith,R-HSA-418594
CXCR2,associatedWith,R-HSA-418594
CXCR3,associatedWith,R-HSA-418594
CXCR4,associatedWith,R-HSA-418594
CXCR5,associatedWith,R-HSA-418594
CXCR6,associatedWith,R-HSA-418594
DRD2,associatedWith,R-HSA-418594
DRD3,associatedWith,R-HSA-418594
DRD4,associatedWith,R-HSA-418594
FPR1,associatedWith,R-HSA-418594
FPR2,associatedWith,R-HSA-418594
FPR3,associatedWith,R-HSA-418594
GABBR1,associatedWith,R-HSA-418594
GABBR2,associatedWith,R-HSA-418594
GAL,associatedWith,R-HSA-418594
GALR1,associatedWith,R-HSA-418594
GALR2,associatedWith,R-HSA-418594
GALR3,associatedWith,R-HSA-418594
GNAI1,associatedWith,R-HSA-418594
GNAI2,associatedWith,R-HSA-418594
GNAI3,associatedWith,R-HSA-418594
GNAS,associatedWith,R-HSA-418594
GNAT1,associatedWith,R-HSA-418594
GNAT2,associatedWith,R-HSA-418594
GNAT3,associatedWith,R-HSA-418594
GNAZ,associatedWith,R-HSA-418594
GNB1,associatedWith,R-HSA-418594
GNB2,associatedWith,R-HSA-418594
GNB3,associatedWith,R-HSA-418594
GNB4,associatedWith,R-HSA-418594
GNB5,associatedWith,R-HSA-418594
GNG10,associatedWith,R-HSA-418594
GNG11,associatedWith,R-HSA-418594
GNG12,associatedWith,R-HSA-418594
GNG13,associatedWith,R-HSA-418594
GNG2,associatedWith,R-HSA-418594
GNG3,associatedWith,R-HSA-418594
GNG4,associatedWith,R-HSA-418594
GNG5,associatedWith,R-HSA-418594
GNG7,associatedWith,R-HSA-418594
GNG8,associatedWith,R-HSA-418594
GNGT1,associatedWith,R-HSA-418594
GNGT2,associatedWith,R-HSA-418594
GPER1,associatedWith,R-HSA-418594
GPR17,associatedWith,R-HSA-418594
GPR18,associatedWith,R-HSA-418594
GPR183,associatedWith,R-HSA-418594
GPR31,associatedWith,R-HSA-418594
GPR37,associatedWith,R-HSA-418594
GPR37L1,associatedWith,R-HSA-418594
GPR55,associatedWith,R-HSA-418594
GPSM1,associatedWith,R-HSA-418594
GPSM2,associatedWith,R-HSA-418594
GPSM3,associatedWith,R-HSA-418594
GRM2,associatedWith,R-HSA-418594
GRM3,associatedWith,R-HSA-418594
GRM4,associatedWith,R-HSA-418594
GRM6,associatedWith,R-HSA-418594
GRM7,associatedWith,R-HSA-418594
GRM8,associatedWith,R-HSA-418594
HCAR1,associatedWith,R-HSA-418594
HCAR2,associatedWith,R-HSA-418594
HCAR3,associatedWith,R-HSA-418594
HEBP1,associatedWith,R-HSA-418594
HRH3,associatedWith,R-HSA-418594
HRH4,associatedWith,R-HSA-418594
HTR1A,associatedWith,R-HSA-418594
HTR1B,associatedWith,R-HSA-418594
HTR1D,associatedWith,R-HSA-418594
HTR1E,associatedWith,R-HSA-418594
HTR1F,associatedWith,R-HSA-418594
HTR5A,associatedWith,R-HSA-418594
INSL5,associatedWith,R-HSA-418594
KNG1,associatedWith,R-HSA-418594
LPAR1,associatedWith,R-HSA-418594
LPAR2,associatedWith,R-HSA-418594
LPAR3,associatedWith,R-HSA-418594
LPAR5,associatedWith,R-HSA-418594
MCHR1,associatedWith,R-HSA-418594
MCHR2,associatedWith,R-HSA-418594
MT-RNR2,associatedWith,R-HSA-418594
MTNR1A,associatedWith,R-HSA-418594
MTNR1B,associatedWith,R-HSA-418594
NMS,associatedWith,R-HSA-418594
NMU,associatedWith,R-HSA-418594
NMUR1,associatedWith,R-HSA-418594
NMUR2,associatedWith,R-HSA-418594
NPB,associatedWith,R-HSA-418594
NPBWR1,associatedWith,R-HSA-418594
NPBWR2,associatedWith,R-HSA-418594
NPW,associatedWith,R-HSA-418594
NPY,associatedWith,R-HSA-418594
NPY1R,associatedWith,R-HSA-418594
NPY2R,associatedWith,R-HSA-418594
NPY4R,associatedWith,R-HSA-418594
NPY5R,associatedWith,R-HSA-418594
OPN1LW,associatedWith,R-HSA-418594
OPN1MW,associatedWith,R-HSA-418594
OPN1SW,associatedWith,R-HSA-418594
OPN3,associatedWith,R-HSA-418594
OPN5,associatedWith,R-HSA-418594
OPRD1,associatedWith,R-HSA-418594
OPRK1,associatedWith,R-HSA-418594
OPRL1,associatedWith,R-HSA-418594
OPRM1,associatedWith,R-HSA-418594
OXER1,associatedWith,R-HSA-418594
OXGR1,associatedWith,R-HSA-418594
P2RY12,associatedWith,R-HSA-418594
P2RY13,associatedWith,R-HSA-418594
P2RY14,associatedWith,R-HSA-418594
P2RY4,associatedWith,R-HSA-418594
PCP2,associatedWith,R-HSA-418594
PDYN,associatedWith,R-HSA-418594
PENK,associatedWith,R-HSA-418594
PF4,associatedWith,R-HSA-418594
PMCH,associatedWith,R-HSA-418594
PNOC,associatedWith,R-HSA-418594
POMC,associatedWith,R-HSA-418594
PPBP,associatedWith,R-HSA-418594
PPY,associatedWith,R-HSA-418594
PSAP,associatedWith,R-HSA-418594
PTGDR2,associatedWith,R-HSA-418594
PTGER3,associatedWith,R-HSA-418594
PYY,associatedWith,R-HSA-418594
RGR,associatedWith,R-HSA-418594
RGS1,associatedWith,R-HSA-418594
RGS10,associatedWith,R-HSA-418594
RGS11,associatedWith,R-HSA-418594
RGS12,associatedWith,R-HSA-418594
RGS13,associatedWith,R-HSA-418594
RGS14,associatedWith,R-HSA-418594
RGS16,associatedWith,R-HSA-418594
RGS17,associatedWith,R-HSA-418594
RGS18,associatedWith,R-HSA-418594
RGS19,associatedWith,R-HSA-418594
RGS20,associatedWith,R-HSA-418594
RGS21,associatedWith,R-HSA-418594
RGS22,associatedWith,R-HSA-418594
RGS3,associatedWith,R-HSA-418594
RGS4,associatedWith,R-HSA-418594
RGS5,associatedWith,R-HSA-418594
RGS6,associatedWith,R-HSA-418594
RGS7,associatedWith,R-HSA-418594
RGS8,associatedWith,R-HSA-418594
RGS9,associatedWith,R-HSA-418594
RGSL1,associatedWith,R-HSA-418594
RHO,associatedWith,R-HSA-418594
RLN3,associatedWith,R-HSA-418594
RRH,associatedWith,R-HSA-418594
RXFP3,associatedWith,R-HSA-418594
RXFP4,associatedWith,R-HSA-418594
S1PR1,associatedWith,R-HSA-418594
S1PR2,associatedWith,R-HSA-418594
S1PR3,associatedWith,R-HSA-418594
S1PR4,associatedWith,R-HSA-418594
S1PR5,associatedWith,R-HSA-418594
SAA1,associatedWith,R-HSA-418594
SRC,associatedWith,R-HSA-418594
SST,associatedWith,R-HSA-418594
SSTR1,associatedWith,R-HSA-418594
SSTR2,associatedWith,R-HSA-418594
SSTR3,associatedWith,R-HSA-418594
SSTR4,associatedWith,R-HSA-418594
SSTR5,associatedWith,R-HSA-418594
SUCNR1,associatedWith,R-HSA-418594
TAS1R1,associatedWith,R-HSA-418594
TAS1R2,associatedWith,R-HSA-418594
TAS1R3,associatedWith,R-HSA-418594
TAS2R1,associatedWith,R-HSA-418594
TAS2R10,associatedWith,R-HSA-418594
TAS2R13,associatedWith,R-HSA-418594
TAS2R14,associatedWith,R-HSA-418594
TAS2R16,associatedWith,R-HSA-418594
TAS2R19,associatedWith,R-HSA-418594
TAS2R20,associatedWith,R-HSA-418594
TAS2R3,associatedWith,R-HSA-418594
TAS2R30,associatedWith,R-HSA-418594
TAS2R31,associatedWith,R-HSA-418594
TAS2R38,associatedWith,R-HSA-418594
TAS2R39,associatedWith,R-HSA-418594
TAS2R4,associatedWith,R-HSA-418594
TAS2R40,associatedWith,R-HSA-418594
TAS2R41,associatedWith,R-HSA-418594
TAS2R42,associatedWith,R-HSA-418594
TAS2R43,associatedWith,R-HSA-418594
TAS2R45,associatedWith,R-HSA-418594
TAS2R46,associatedWith,R-HSA-418594
TAS2R5,associatedWith,R-HSA-418594
TAS2R50,associatedWith,R-HSA-418594
TAS2R60,associatedWith,R-HSA-418594
TAS2R7,associatedWith,R-HSA-418594
TAS2R8,associatedWith,R-HSA-418594
TAS2R9,associatedWith,R-HSA-418594
ADCY1,associatedWith,R-HSA-418597
ADCY2,associatedWith,R-HSA-418597
ADCY3,associatedWith,R-HSA-418597
ADCY4,associatedWith,R-HSA-418597
ADCY5,associatedWith,R-HSA-418597
ADCY6,associatedWith,R-HSA-418597
ADCY7,associatedWith,R-HSA-418597
ADCY8,associatedWith,R-HSA-418597
ADCY9,associatedWith,R-HSA-418597
ADRA2A,associatedWith,R-HSA-418597
ADRA2B,associatedWith,R-HSA-418597
ADRA2C,associatedWith,R-HSA-418597
GNAI1,associatedWith,R-HSA-418597
GNAI2,associatedWith,R-HSA-418597
GNAI3,associatedWith,R-HSA-418597
GNAS,associatedWith,R-HSA-418597
GNAT3,associatedWith,R-HSA-418597
GNAZ,associatedWith,R-HSA-418597
GNB1,associatedWith,R-HSA-418597
GNB2,associatedWith,R-HSA-418597
GNB3,associatedWith,R-HSA-418597
GNB4,associatedWith,R-HSA-418597
GNB5,associatedWith,R-HSA-418597
GNG10,associatedWith,R-HSA-418597
GNG11,associatedWith,R-HSA-418597
GNG12,associatedWith,R-HSA-418597
GNG13,associatedWith,R-HSA-418597
GNG2,associatedWith,R-HSA-418597
GNG3,associatedWith,R-HSA-418597
GNG4,associatedWith,R-HSA-418597
GNG5,associatedWith,R-HSA-418597
