R-HSA-4755583,Defective DOLK causes DOLK-CDG,congenital disorder of glycosylation type I
R-HSA-5609974,Defective PGM1 causes PGM1-CDG,congenital disorder of glycosylation
R-HSA-5579026,Defective CYP11A1 causes AICSR,congenital adrenal insufficiency
R-HSA-5083636,Defective GALNT12 causes CRCS1,colorectal cancer
R-HSA-5339700,Signaling by TCF7L2 mutants,colorectal cancer
R-HSA-9608287,Defective MUTYH substrate binding,colorectal cancer
R-HSA-9608290,Defective MUTYH substrate processing,colorectal cancer
R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,chronic myeloid leukemia
R-HSA-5339716,Signaling by GSK3beta mutants,chronic myeloid leukemia
R-HSA-5678771,"Defective ABCB4 causes PFIC3, ICP3 and GBD1",cholelithiasis
R-HSA-5679090,Defective ABCG8 causes GBD4 and sitosterolemia,cholelithiasis
R-HSA-5578996,Defective CYP27A1 causes CTX,cerebrotendinous xanthomatosis
R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),cataract
